minute,tweets
1225,1
1227,4
1228,9
1229,10
1230,16
1231,5
1232,12
1233,5
1234,4
1235,6
1236,5
1237,5
1238,6
1239,3
1240,4
1241,5
1242,6
1243,7
1244,9
1245,4
1246,5
1247,2
1248,5
1249,7
1250,5
1251,7
1252,5
1253,8
1254,4
1255,7
1256,8
1257,10
1258,9
1259,6
1300,8
1301,5
1302,5
1303,3
1304,6
1305,7
1306,5
1307,4
1308,2
1309,15
1310,5
1311,1
1312,4
1313,10
1314,9
1315,4
1316,4
1317,6
1318,3
1319,5
1320,6
1321,6
1322,4
1323,8
1324,6
1325,2
1326,5
1327,3
1328,6
1329,3
1330,7
1331,5
1332,6
1333,2
1334,4
1335,3
1336,4
1337,6
1338,8
1339,5
1340,3
1341,4
1342,5
1343,8
1344,5
1345,2
1346,8
1347,1
1348,3
1349,8
1350,6
1351,3
1352,7
1354,3
1355,7
1356,4
1357,4
1358,3
1359,3
1400,3
1401,4
1402,3
1403,5
1404,5
1405,7
1406,4
1407,2
1408,2
1409,6
1410,8
1411,4
1412,3
1413,8
1414,6
1415,1
1416,6
1417,8
1418,10
1419,5
1420,7
1421,10
1422,9
1423,8
1424,3
1425,10
1426,10
1427,4
1428,9
1429,7
1430,9
1431,5
1432,3
1433,7
1434,3
1435,5
1436,6
1437,3
1438,3
1439,2
1440,7
1441,4
1442,4
1443,3
1444,7
1445,2
1446,7
1447,3
1448,2
1449,3
1450,3
1451,5
1452,2
1453,5
1454,5
1455,5
1456,5
1457,3
1458,3
1459,4
1500,3
1501,4
1502,2
1503,6
1504,2
1505,3
1506,5
1507,1
1508,3
1509,6
1510,3
1511,3
1512,8
1513,5
1514,3
1515,9
1516,3
1517,9
1518,5
1519,3
1521,4
1522,6
1523,2
1524,6
1525,7
1526,2
1527,2
1528,6
1529,4
1530,10
1531,4
1532,8
1533,11
1534,7
1535,8
1536,15
1537,12
1538,11
1539,7
1540,4
1541,10
1542,7
1543,10
1544,7
1545,7
1546,5
1547,3
1548,3
1549,1
1550,4
1551,6
1552,3
1553,6
1554,10
1555,6
1556,7
1557,11
1558,11
1559,9
1600,7
1601,7
1602,4
1603,8
1604,4
1605,10
1606,6
1607,6
1608,7
1609,3
1610,3
1611,1
1612,9
1613,8
1614,2
1615,2
1616,4
1617,4
1618,4
1619,4
1620,4
1621,5
1622,8
1623,4
1624,6
1625,3
1626,4
1627,5
1628,7
1629,7
1630,3
1631,5
1632,2
1633,1
1634,2
1635,4
1636,3
1637,7
1638,8
1639,8
1640,8
1641,5
1642,8
1643,8
1644,12
1645,9
1646,5
1647,10
1648,3
1649,6
1650,4
1651,1
1652,3
1653,5
1654,3
1655,5
1656,3
1657,7
1658,5
1659,5
1700,7
1701,2
1702,3
1703,1
1704,4
1705,4
1706,6
1707,1
1708,4
1709,7
1710,2
1711,5
1712,1
1713,5
1714,8
1715,6
1716,6
1717,1
1719,3
1720,4
1721,1
1722,3
1723,2
1724,3
1725,3
1726,3
1727,5
1728,2
1729,1
1730,4
1731,2
1732,5
1733,4
1734,2
1735,5
1736,6
1737,4
1738,2
1739,3
1740,1
1741,4
1742,10
1743,5
1744,5
1745,4
1746,10
1747,2
1748,1
1749,8
1750,4
1751,4
1752,4
1753,2
1754,3
1755,9
1756,5
1757,6
1758,7
1759,6
1800,5
1801,8
1802,4
1803,6
1804,6
1805,4
1806,3
1807,3
1808,7
1809,3
1810,2
1811,6
1812,5
1813,3
1814,4
1815,3
1816,7
1817,2
1818,1
1819,1
1820,2
1821,2
1822,2
1823,5
1824,1
1825,10
1826,7
1827,6
1828,4
1829,3
1830,5
1831,8
1832,7
1833,5
1834,6
1835,5
1836,5
1837,5
1838,3
1839,3
1840,3
1841,5
1842,9
1843,3
1844,7
1845,3
1846,2
1847,8
1848,5
1849,7
1850,8
1851,8
1852,8
1853,3
1854,12
1855,5
1856,10
1857,4
1858,5
1859,7
1900,3
1901,1
1902,2
1903,8
1904,4
1905,4
1906,6
1907,1
1908,1
1909,4
1910,2
1911,3
1912,2
1913,3
1914,1
