minute,tweets
1225,1
1227,9
1228,28
1229,20
1230,29
1231,14
1232,27
1233,16
1234,15
1235,22
1236,14
1237,17
1238,17
1239,16
1240,19
1241,21
1242,19
1243,20
1244,21
1245,12
1246,15
1247,18
1248,13
1249,23
1250,15
1251,19
1252,16
1253,20
1254,20
1255,18
1256,22
1257,21
1258,20
1259,18
1300,26
1301,17
1302,10
1303,19
1304,13
1305,22
1306,14
1307,16
1308,11
1309,28
1310,11
1311,11
1312,20
1313,27
1314,23
1315,18
1316,16
1317,17
1318,15
1319,15
1320,16
1321,23
1322,15
1323,16
1324,16
1325,19
1326,23
1327,12
1328,21
1329,22
1330,16
1331,15
1332,19
1333,14
1334,19
1335,20
1336,19
1337,19
1338,15
1339,11
1340,10
1341,12
1342,11
1343,22
1344,15
1345,11
1346,16
1347,11
1348,23
1349,19
1350,13
1351,14
1352,19
1353,8
1354,13
1355,18
1356,11
1357,17
1358,9
1359,13
1400,15
1401,10
1402,12
1403,17
1404,13
1405,13
1406,9
1407,7
1408,15
1409,16
1410,15
1411,7
1412,14
1413,19
1414,14
1415,12
1416,14
1417,16
1418,20
1419,17
1420,23
1421,22
1422,24
1423,22
1424,11
1425,20
1426,23
1427,22
1428,22
1429,19
1430,21
1431,15
1432,16
1433,16
1434,8
1435,13
1436,18
1437,11
1438,8
1439,13
1440,13
1441,16
1442,13
1443,10
1444,15
1445,9
1446,13
1447,14
1448,9
1449,17
1450,8
1451,15
1452,9
1453,14
1454,14
1455,16
1456,14
1457,11
1458,12
1459,9
1500,13
1501,13
1502,10
1503,12
1504,11
1505,11
1506,12
1507,6
1508,16
1509,23
1510,15
1511,13
1512,25
1513,17
1514,6
1515,20
1516,7
1517,16
1518,13
1519,13
1520,6
1521,11
1522,12
1523,7
1524,10
1525,14
1526,7
1527,10
1528,11
1529,7
1530,24
1531,16
1532,13
1533,25
1534,20
1535,17
1536,22
1537,22
1538,19
1539,13
1540,10
1541,17
1542,19
1543,17
1544,12
1545,16
1546,8
1547,13
1548,13
1549,10
1550,12
1551,9
1552,12
1553,17
1554,16
1555,15
1556,18
1557,15
1558,22
1559,17
1600,13
1601,10
1602,9
1603,10
1604,13
1605,23
1606,17
1607,17
1608,12
1609,7
1610,13
1611,13
1612,21
1613,16
1614,10
1615,6
1616,8
1617,7
1618,12
1619,10
1620,11
1621,10
1622,11
1623,15
1624,18
1625,15
1626,8
1627,17
1628,14
1629,12
1630,10
1631,14
1632,8
1633,8
1634,9
1635,9
1636,13
1637,14
1638,18
1639,15
1640,14
1641,14
1642,15
1643,18
1644,17
1645,17
1646,20
1647,23
1648,16
1649,14
1650,10
1651,7
1652,10
1653,10
1654,8
1655,9
1656,12
1657,10
1658,11
1659,8
1700,17
1701,12
1702,13
1703,15
1704,13
1705,9
1706,18
1707,9
1708,15
1709,15
1710,12
1711,13
1712,10
1713,15
1714,19
1715,16
1716,16
1717,7
1718,6
1719,16
1720,15
1721,15
1722,12
1723,12
1724,11
1725,16
1726,9
1727,11
1728,7
1729,11
1730,10
1731,9
1732,12
1733,12
1734,7
1735,15
1736,12
1737,14
1738,12
1739,11
1740,10
1741,8
1742,20
1743,10
1744,13
1745,14
1746,21
1747,10
1748,8
1749,19
1750,15
1751,10
1752,15
1753,8
1754,13
1755,26
1756,12
1757,14
1758,17
1759,21
1800,16
1801,16
1802,11
1803,19
1804,12
1805,13
1806,8
1807,9
1808,15
1809,12
1810,7
1811,15
1812,21
1813,7
1814,9
1815,9
1816,19
1817,19
1818,13
1819,11
1820,18
1821,9
1822,11
1823,20
1824,11
1825,25
1826,18
1827,15
1828,19
1829,13
1830,24
1831,18
1832,17
1833,11
1834,20
1835,23
1836,25
1837,22
1838,18
1839,30
1840,24
1841,26
1842,29
1843,15
1844,15
1845,26
1846,24
1847,17
1848,25
1849,32
1850,11
1851,20
1852,19
1853,9
1854,21
1855,21
1856,13
1857,13
1858,20
1859,19
1900,16
1901,10
1902,9
1903,18
1904,10
1905,12
1906,18
1907,10
1908,10
1909,14
1910,12
1911,18
1912,13
1913,14
1914,12
1915,12
1916,16
1917,12
1918,18
1919,13
1920,21
1921,17
1922,15
1923,22
1924,13
1925,30
1926,32
1927,20
1928,15
1929,23
1930,19
1931,13
1932,14
1933,16
1934,20
1935,19
1936,20
1937,14
1938,15
1939,21
1940,12
1941,14
1942,15
1943,20
1944,14
1945,12
1946,18
1947,12
1948,10
1949,12
1950,15
1951,13
1952,14
1953,26
1954,17
1955,25
1956,7
1957,12
1958,8
1959,12
2000,7
2001,16
2002,15
2003,23
2004,12
2005,7
2006,10
2007,19
2008,29
2009,15
2010,17
2011,17
2012,18
2013,16
2014,11
2015,10
2016,18
2017,13
2018,21
2019,14
2020,16
2021,8
2022,11
2023,17
2024,11
2025,9
2026,10
2027,11
2028,10
2029,7
2030,13
2031,14
2032,8
2033,8
2034,10
2035,15
2036,17
2037,9
2038,9
2039,16
2040,19
2041,8
2042,13
2043,9
2044,21
2045,14
2046,13
2047,13
2048,26
2049,11
2050,16
2051,18
2052,18
2053,16
2054,18
2055,17
2056,11
2057,21
2058,13
2059,19
2100,15
2101,11
2102,13
2103,14
2104,13
2105,15
2106,14
2107,15
2108,10
2109,15
2110,12
2111,16
2112,13
2113,19
2114,8
2115,19
2116,20
2117,21
2118,10
2119,16
2120,15
2121,17
2122,13
2123,21
2124,24
2125,17
2126,17
2127,11
2128,11
2129,15
2130,15
2131,13
2132,26
2133,27
2134,25
2135,30
2136,17
2137,28
2138,18
2139,16
2140,26
2141,23
2142,12
2143,15
2144,7
2145,13
2146,16
2147,17
2148,18
2149,14
2150,19
2151,19
2152,15
2153,12
2154,21
2155,15
2156,8
2157,7
2158,16
2159,18
2200,16
2201,9
2202,16
2203,18
2204,7
2205,12
2206,12
2207,14
2208,17
2209,12
2210,16
2211,12
2212,23
2213,9
2214,13
2215,23
2216,15
2217,15
2218,19
2219,17
2220,14
2221,16
2222,14
2223,9
2224,8
2225,9
2226,12
2227,14
2228,8
2229,9
2230,17
2231,12
2232,5
2233,7
2234,7
2235,8
2236,13
2237,10
2238,11
2239,15
2240,8
2241,9
2242,15
2243,17
2244,16
2245,16
2246,28
2247,18
2248,12
2249,16
2250,13
2251,16
2252,17
2253,10
2254,13
2255,12
2256,13
2257,16
2258,10
2259,17
2300,15
2301,12
2302,12
2303,10
2304,4
2305,14
2306,17
2307,16
2308,20
2309,16
2310,20
2311,20
2312,14
2313,11
2314,14
2315,10
2316,13
2317,6
2318,6
2319,11
2320,12
2321,7
2322,5
2323,11
2324,12
2325,9
2326,10
2327,9
2328,20
2329,22
2330,16
2331,13
2332,15
2333,29
2334,22
2335,11
2336,14
2337,14
2338,10
2339,7
2340,10
2341,11
2342,15
2343,9
2344,14
2345,9
2346,9
2347,7
2348,10
2349,8
2350,1
2351,7
2352,1
2353,8
2354,4
2355,6
2356,2
2357,3
2358,5
2359,2
